condition,control,seed,config_hash,engine_version,measurement_version,world_contract_version,spatial_enabled,boundary_model,spatial_rng_stream,spatial_births,boundary_contacts,mean_parent_child_distance,max_parent_child_distance,mean_local_neighbors,mean_nearest_neighbor_distance,occupied_spatial_bins,spatial_occupancy_fraction,local_resources_enabled,organism_actions_enabled,local_resource_total,local_resource_minimum,local_resource_balance_error,resource_ledger,resource_sense_operations,movement_operations,movement_distance,movement_energy_cost,mutation_events,lineage_count,genotype_count,tick,active_population,births,deaths,max_population,active_genotypes,historical_genotypes,active_lineages,max_generation,instructions_executed,faults,blocked_divisions,waiting_for_memory,waiting_for_energy,energy_pool,memory_used,free_memory,energy_balance_error,atomic_movement_payment_enabled,local_resource_maximum,movement_nonzero_operations,movement_step_mutation_rate,movement_uncommitted_distance,movement_uncommitted_execution_energy_batches,movement_uncommitted_movement_energy_batches,movement_uncommitted_nonzero_operations,movement_uncommitted_operations,movement_zero_step_operations,resource_allocation_cv,resource_distribution_mode,resource_heterogeneity_cv,result_checksum
sensing-execution-off-movement-on,,1,3548c92536d10f38,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,165,0,0.998884,,4.903226,5.365846,14,0.14,True,True,26436.022727,0.0,6.3e-09,,0,17,17.0,1.7,,,,2000,31,165,146,31,2,16,2,17,11936,13,31,31,0,0.0,496,4,-4.8e-09,True,1863.636364,17,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.690483,6b978704867cc9d7494dd912c2a2f15e330afe9ff4284ce8579c93c68a655ca0
sensing-execution-off-movement-on,,2,962a237fa8f2866c,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,64,3,0.887045,,0.181818,13.182765,9,0.09,True,True,35056.772727,0.0,-1.5e-09,,0,0,0.0,0.0,,,,2000,11,64,65,24,1,6,1,6,4369,4,11,0,11,0.0,176,324,1.3e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.816303,5870a287f1c3c0f9d9f49429e8db38a3956dff2da87360d6a8c254f7a1ff80ee
sensing-execution-off-movement-on,,3,fdecf4dcb61f9327,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,67,1,1.07896,,9.032258,4.695424,12,0.12,True,True,35379.681818,0.0,-3e-10,,0,8,8.0,0.8,,,,2000,31,67,48,31,1,4,1,9,4972,2,27,27,0,0.0,496,4,6e-10,True,1863.636364,8,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.814444,8fd73963e9585797303621635bb8a6021dafdbea59e961dec2bf5e46b08b44bb
sensing-execution-off-movement-on,,4,ea8f54b146450809,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,69,0,0.925536,,2.0,7.440763,10,0.1,True,True,34620.995455,0.0,-1.5e-09,,0,0,0.0,0.0,,,,2000,15,69,66,25,2,4,2,6,5181,2,12,0,12,0.0,240,260,1.5e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.919105,77b3310247f78d95eea850c6cf8290b7f5507297b07f1c51ae15146b89f123ec
sensing-execution-off-movement-on,,5,9720f038a3a628a4,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,157,0,1.012692,,2.333333,5.575217,12,0.12,True,True,30609.472727,0.0,1.7e-09,,0,10,9.0,0.9,,,,2000,24,157,145,31,2,17,2,28,10591,15,24,0,24,0.0,384,116,4.1e-09,True,1863.636364,9,0.5,0.0,0,0,0,0,1,0.668043,center_patch,0.802199,ca408c9ddbc248eb228bf6ee1dc097dffebb1e14046a54b09fe756c6f73bd0e1
sensing-execution-off-movement-on,,6,7025c42d8c1ef476,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,117,1,0.994371,,1.0,6.758162,12,0.12,True,True,31639.140909,0.0,-0.0,,0,0,0.0,0.0,,,,2000,18,117,111,31,1,5,1,15,7681,4,18,0,18,0.0,288,212,3.7e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.869786,64b289100e485320a61b5f1c59c0fe41acfc2364de7fc148affbeb1e61bdd402
sensing-execution-off-movement-on,,7,373ff1e4b1fa98c6,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,114,0,0.94713,,0.8,11.684348,9,0.09,True,True,33364.268182,0.0,-2.2e-09,,0,1,1.0,0.1,,,,2000,15,114,111,31,1,9,1,18,7768,8,15,0,15,0.0,240,260,2.1e-09,True,1863.636364,1,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.7935,2f5f77350771c480c1facd5db86f77e9c93e06a5781ffcc1d8dddb64349ffd02
sensing-execution-off-movement-on,,8,33c19b30247c93b6,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,119,3,0.912756,,0.727273,9.682478,6,0.06,True,True,34089.118182,0.0,-1e-09,,0,1,0.0,0.0,,,,2000,11,119,120,31,3,14,3,21,9479,5,10,0,10,0.0,176,324,1.3e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,1,0.668043,center_patch,0.758962,c584d03df1a342e880abf38a9f6fa4379065e48441bda1b3bc1869ad46112d2e
sensing-execution-off-movement-on,,9,2f98b348e21e120b,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,165,0,0.966822,,3.448276,5.001232,11,0.11,True,True,30351.963636,0.0,1.3e-09,,0,10,2.0,0.2,,,,2000,29,165,148,31,3,18,3,21,11357,14,26,0,26,0.0,464,36,4e-09,True,1863.636364,2,0.5,0.0,0,0,0,0,8,0.668043,center_patch,0.764714,132372d8d1d8c34b37091f3723aa01a9e1e63d66fa369bac6d209b457f3af3c8
sensing-execution-off-movement-on,,10,9a87a3ea1b2bfc45,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,157,1,0.934117,,0.428571,9.963586,10,0.1,True,True,32435.454545,0.0,-2e-09,,0,1,1.0,0.1,,,,2000,14,157,155,28,2,15,2,34,10800,10,13,0,13,0.0,224,276,2.3e-09,True,1863.636364,1,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.833289,f429935ce319464a0e1882bd65b2bec1963242c8fd0309490dd3624dcd43371d
sensing-execution-off-movement-on,,11,dce89babe9538201,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,155,0,0.929756,,5.741935,6.246282,15,0.15,True,True,28420.454545,0.0,2.6e-09,,0,0,0.0,0.0,,,,2000,31,155,136,31,2,11,1,26,10394,8,30,30,0,0.0,496,4,2.5e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.773972,e760ee03c857a5bb9e34ed3193622efb000dbe5fbc2286347bb968712f0902e8
sensing-execution-off-movement-on,,12,f35c5ad90ddea7de,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,126,1,0.930082,,2.833333,5.866795,13,0.13,True,True,31870.454545,0.0,-1.7e-09,,0,8,0.0,0.0,,,,2000,24,126,114,28,4,13,3,16,8691,6,23,0,23,0.0,384,116,2.9e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,8,0.668043,center_patch,0.858942,7894b10b75998a88112881196f0504056c6a162a7b2e2007d74d1b420121cc7a
sensing-execution-off-movement-on,,13,425a1a8dc89a0af3,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,77,0,0.97858,,0.0,13.789961,9,0.09,True,True,35215.25,0.0,-2.2e-09,,0,1,1.0,0.1,,,,2000,10,77,79,24,2,7,2,7,5708,4,9,0,9,0.0,160,340,9e-10,True,1863.636364,1,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.892675,b71e03f706a141c4af69af97b2b9d79d01c70c1c0f5451753ca865e792734ad9
sensing-execution-off-movement-on,,14,26c48b9984ab4fee,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,129,0,1.35965,,3.928571,5.951183,15,0.15,True,True,32122.5,0.0,-2.5e-09,,0,44,43.0,4.3,,,,2000,28,129,113,31,3,17,3,19,9049,11,23,0,23,0.0,448,52,2.9e-09,True,1863.636364,43,0.5,7.0,6,1,7,7,1,0.668043,center_patch,0.946232,e1814a40bf4ff58613e17d1c66c04fc72c439c7ec48fb45dc5f8634c1d5cf4ff
sensing-execution-off-movement-on,,15,ae2bd1ff0b416029,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,38,3,0.914733,,0.0,13.921531,7,0.07,True,True,37415.131818,0.0,-0.0,,0,0,0.0,0.0,,,,2000,7,38,43,24,1,6,1,4,2647,5,7,0,7,0.0,112,388,-6e-10,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.805187,ddb253c83ed58060ece108e8ae874019d2356fff0428ef9864f03279a0b2a205
sensing-execution-off-movement-on,,16,a61b76ac1f6541da,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,212,0,0.971437,,2.333333,5.595152,11,0.11,True,True,29682.186364,0.0,2.8e-09,,0,16,8.0,0.8,,,,2000,18,212,206,31,1,14,1,33,13892,11,16,0,16,0.0,288,212,4.1e-09,True,1868.386364,8,0.5,0.0,0,0,0,0,8,0.668043,center_patch,0.840041,336897441b3723f4ad5b83e7847cc12d4d0052817615d020d9dd7f9f7b231aab
sensing-execution-off-movement-on,,17,bc569115337d23ca,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,173,2,1.003779,,0.363636,7.398441,15,0.15,True,True,29468.672727,0.0,5.2e-09,,0,9,8.0,0.8,,,,2000,22,173,163,31,2,11,2,20,11741,7,22,0,22,0.0,352,148,1.6e-09,True,1868.445455,8,0.5,0.0,0,0,0,0,1,0.668043,center_patch,0.97195,09397b8a974105c45d43b1141fc2b8f648f923d61da14b4d0884a57c1c778674
sensing-execution-off-movement-on,,18,cf07e315873e11c5,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,94,0,1.029351,,0.222222,12.141709,8,0.08,True,True,33878.777273,0.0,-2e-09,,0,8,8.0,0.8,,,,2000,9,94,97,24,2,9,2,14,5853,8,7,0,7,0.0,144,356,1.6e-09,True,1868.445455,8,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.766925,cff075d68c307dce184a10f3d73b5ddc72de2d55ca24cb8fcca0d327181dbc2b
sensing-execution-off-movement-on,,19,e00d2a787c006f7c,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,88,3,0.951565,,0.142857,9.539024,12,0.12,True,True,32928.409091,0.0,-3.1e-09,,0,0,0.0,0.0,,,,2000,14,88,86,27,2,6,2,6,5976,4,13,0,13,0.0,224,276,2.9e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.900533,7b50f8b684b6d4f71306fff3723bf8d0baa02679517a8cb30066b18076b6126a
sensing-execution-off-movement-on,,20,544cfaa5999780fa,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,110,4,0.971052,,4.5,3.465714,12,0.12,True,True,33307.690909,0.0,-2.4e-09,,0,1,0.0,0.0,,,,2000,24,110,98,26,2,12,2,9,7503,9,22,0,22,0.0,384,116,2.2e-09,True,1863.636364,0,0.5,0.0,0,0,0,0,1,0.668043,center_patch,0.886379,c51f740527fce04213bc33318fca138cbdb1c89f9dd320c9c452ec7b922be374
sensing-execution-off-movement-on,,21,c637e146cb7c0799,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,57,2,0.974767,,0.181818,14.170008,10,0.1,True,True,35467.081818,0.0,-1.5e-09,,0,8,8.0,0.8,,,,2000,11,57,58,24,1,7,1,4,4099,5,10,0,10,0.0,176,324,1e-09,True,1870.536364,8,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.888375,9e19374ff7326114a704456eac9905a57aac1ce2edfb790e87f5fb91a563182c
sensing-execution-off-movement-on,,22,abbcc42694a14025,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,79,2,0.888422,,8.129032,5.564051,10,0.1,True,True,35194.718182,0.0,-0.0,,0,0,0.0,0.0,,,,2000,31,79,60,31,5,14,5,10,6108,9,20,3,17,0.0,496,4,6e-10,True,1863.636364,0,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.893918,08e52268e97a4d8ee8701ba17aa5ff9fcdee6654c6fdc790b684c6497d637b1d
sensing-execution-off-movement-on,,23,6e750b0a8ab79b9e,phase-three-vm-0.3,phase-three-measurement-0.3,phase-three-environment-0.1,True,reflective,,182,0,1.015768,,4.580645,3.658104,15,0.15,True,True,29942.968182,0.0,2.1e-09,,0,8,8.0,0.8,,,,2000,31,182,163,31,3,16,3,17,12965,12,31,31,0,0.0,496,4,4.1e-09,True,1863.636364,8,0.5,0.0,0,0,0,0,0,0.668043,center_patch,0.943352,f4e24ab83b86a5c3abae8827104f30fb75121b91dcd515d84e232a0b88c1ed89
